,DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live)
,Realized Variance (5-minute),Realized Kernel,Return,Realized Variance (5-minute using 1-minute subsamples),Realized Variance (10-minute),Realized Variance (10-minute using 1-minute subsamples),Bipower Variation (5-minute) ,Bipower Variation (5-minute using 1-minute subsamples) ,Median Truncated Realized Variance,Realized Semivariance (5-minute),Realized Semivariance (5-minute using 1-minute subsamples),Number of Transactions,Time span betwen first and last observation (seconds),Close-to-Open Return,Opening Time (Local in Seconds),High-Low Range,High-Open Range,Opening Price,Closing Price
DateID,DJI2.rv,DJI2.rk,DJI2.r,DJI2.rv5ss,DJI2.rv10,DJI2.rv10ss,DJI2.bv5,DJI2.bv5ss,DJI2.medrv,DJI2.rs,DJI2.rs5ss,DJI2.nobs,DJI2.timespan,DJI2.rcto,DJI2.open,DJI2.highlow,DJI2.highopen,DJI2.openprice,DJI2.closeprice
20070123,1.87E-05,1.78E-05,0.004650245,1.59E-05,1.33E-05,1.22E-05,2.06E-05,1.50E-05,1.94E-05,7.35E-06,6.20E-06,10313,23399.108,,34203.677,-0.006748828,0.006093049,12477.81,12535.97
20070124,1.52E-05,1.76E-05,0.006789368,1.49E-05,1.40E-05,1.18E-05,1.08E-05,1.35E-05,1.62E-05,2.81E-06,4.50E-06,10084,23399.853,,34202.098,-0.007280537,0.007062712,12534.37,12619.76
20070125,1.85E-05,1.72E-05,-0.009233939,1.81E-05,1.73E-05,1.92E-05,1.86E-05,1.70E-05,1.79E-05,1.33E-05,1.36E-05,10261,23399.61,,34201.109,0.010720036,6.97E-05,12621.53,12505.52
20070126,3.21E-05,3.52E-05,-0.001243647,3.22E-05,3.51E-05,3.13E-05,2.60E-05,3.08E-05,3.14E-05,1.45E-05,1.75E-05,10293,23399.84,,34203.082,0.008547043,0.002808913,12503.28,12487.74
20070129,2.06E-05,1.88E-05,0.000423545,1.99E-05,1.79E-05,1.72E-05,2.00E-05,2.00E-05,1.97E-05,8.88E-06,8.87E-06,10189,23399.659,,34201.334,0.004872879,0.004429927,12487.18,12492.47
20070130,1.67E-05,1.70E-05,0.002567898,1.75E-05,1.81E-05,1.53E-05,1.63E-05,1.77E-05,1.50E-05,7.34E-06,7.84E-06,10201,23398.343,,34202.908,-0.006127143,0.003693072,12492.23,12524.35
20070131,3.91E-05,3.06E-05,0.00790872,3.22E-05,3.61E-05,3.05E-05,2.61E-05,2.51E-05,2.30E-05,7.23E-06,6.84E-06,10302,23399.938,,34203.989,-0.012061047,0.01088224,12520.03,12619.44
20070201,1.78E-05,1.74E-05,0.004149986,1.64E-05,1.94E-05,1.52E-05,1.23E-05,1.40E-05,1.29E-05,5.73E-06,6.64E-06,10115,23399.439,,34202.808,-0.005155032,0.005155032,12617.2,12669.67
20070202,1.03E-05,1.20E-05,-0.001391233,1.17E-05,1.06E-05,1.13E-05,1.03E-05,1.18E-05,1.09E-05,5.58E-06,6.52E-06,10045,23396.624,,34202.777,0.003599996,0.000795811,12673.84,12656.22
20070205,8.38E-06,9.93E-06,0.000677059,8.27E-06,6.45E-06,8.30E-06,7.22E-06,8.05E-06,7.46E-06,3.37E-06,3.30E-06,9857,23398.838,,34203.118,-0.004044902,0.002182009,12653.41,12661.98
20070206,8.77E-06,1.06E-05,0.000228222,8.91E-06,8.79E-06,8.13E-06,7.63E-06,8.46E-06,1.01E-05,4.55E-06,4.94E-06,10067,23399.487,,34201.015,0.003646157,0.001467135,12661.66,12664.55
20070207,1.00E-05,1.31E-05,0.00073372,1.12E-05,1.06E-05,1.17E-05,9.50E-06,1.07E-05,1.03E-05,5.50E-06,6.49E-06,9927,23399,,34202.715,0.005503218,0.003418381,12656.86,12666.15
20070208,2.81E-05,2.66E-05,-0.002190992,2.30E-05,2.61E-05,2.09E-05,2.47E-05,2.03E-05,1.84E-05,1.88E-05,1.40E-05,10075,23399.25,,34202.594,0.007109719,0,12665.67,12637.95
20070209,2.55E-05,2.42E-05,-0.004402768,2.52E-05,2.23E-05,2.17E-05,2.08E-05,2.22E-05,1.84E-05,1.61E-05,1.55E-05,10068,23399.326,,34203.289,0.010329604,0.002968363,12638.03,12582.51
20070212,1.42E-05,1.32E-05,-0.001924728,1.21E-05,1.47E-05,1.15E-05,1.23E-05,1.10E-05,1.22E-05,6.37E-06,6.73E-06,9933,23399.377,,34205.185,0.005626921,0.002143945,12580.11,12555.92
20070213,3.40E-05,2.51E-05,0.008201074,1.51E-05,3.32E-05,1.13E-05,6.06E-06,7.64E-06,1.03E-05,2.75E-06,3.32E-06,9892,23399.491,,34208.949,-0.008638045,0.008638045,12549.19,12652.53
20070214,1.73E-05,1.48E-05,0.007177399,1.40E-05,2.28E-05,1.51E-05,1.26E-05,1.10E-05,1.14E-05,2.40E-06,2.23E-06,9730,23398.237,,34202.591,-0.008496529,0.008496529,12651.29,12742.42
20070215,1.01E-05,9.38E-06,0.002003219,1.00E-05,1.14E-05,9.54E-06,9.23E-06,8.56E-06,7.23E-06,5.21E-06,4.55E-06,9876,23399.005,,34204.463,-0.003781411,0.002894165,12741.7,12767.25
20070216,4.37E-06,5.19E-06,0,4.26E-06,2.72E-06,3.49E-06,3.97E-06,3.81E-06,5.16E-06,2.30E-06,2.12E-06,9718,23399.538,,34206.261,-0.001965252,0.000394779,12764.13,12764.13
20070219,,,,,,,,,,,,,,,,,,,
20070220,1.84E-05,1.27E-05,0.001480084,1.41E-05,1.30E-05,1.32E-05,1.66E-05,1.11E-05,9.48E-06,1.05E-05,7.16E-06,9948,23399.551,,34201.399,-0.007137876,0.002268932,12766.85,12785.76
20070221,2.90E-05,3.24E-05,-0.003421355,2.14E-05,2.78E-05,1.85E-05,2.16E-05,1.93E-05,2.00E-05,2.06E-05,1.15E-05,9932,23399.386,,34205.337,0.005933297,0,12782.87,12739.21
20070222,2.84E-05,2.22E-05,-0.003831993,2.35E-05,2.35E-05,2.47E-05,2.02E-05,2.03E-05,1.63E-05,2.00E-05,1.68E-05,10036,23395.468,,34209.635,0.008795119,0.002136574,12735.77,12687.06
20070223,1.38E-05,1.54E-05,-0.002368754,1.37E-05,1.39E-05,1.18E-05,1.36E-05,1.36E-05,1.38E-05,8.11E-06,7.83E-06,9912,23397.718,,34202.276,0.004206344,0.000113559,12679.89,12649.89
20070226,1.69E-05,2.16E-05,-0.0009057,1.45E-05,1.49E-05,1.16E-05,1.19E-05,1.24E-05,1.49E-05,6.53E-06,7.85E-06,10071,23397.824,,34204.004,0.006945652,0.00383754,12647.88,12636.43
20070227,0.00044663,0.000414155,-0.031826097,0.00048129,0.000416954,0.000494512,0.000272075,0.000252018,0.000139447,0.00036797,0.000392132,10596,23398.694,,34203.575,0.043690236,0,12628.9,12233.3
20070228,0.000130292,0.000133866,0.004041786,0.00013479,0.00016429,0.000123599,0.000114775,0.000126067,0.00010952,5.50E-05,6.54E-05,10840,23399.3,,34205.334,-0.013444398,0.01113636,12214.92,12264.39
20070301,0.000403546,0.00032317,-0.002564107,0.000218839,0.000292643,0.000157408,0.000224959,0.000171425,0.000207877,0.000304454,0.000117732,10839,23399.679,,34203.003,-0.018793686,0.001911655,12265.59,12234.18
20070302,8.11E-05,8.41E-05,-0.010162122,7.81E-05,6.80E-05,6.19E-05,7.60E-05,7.49E-05,8.77E-05,5.32E-05,4.14E-05,10650,23397.824,,34201.486,0.011453135,0.001119238,12233.62,12109.93
20070305,0.000163821,0.000127549,-0.005285746,0.000118616,0.000123561,0.00010606,0.000145394,0.000110606,9.19E-05,8.47E-05,5.13E-05,10532,23398.982,,34203.26,-0.012261483,0.006284082,12111.61,12047.76
20070306,9.46E-05,6.97E-05,0.012685676,4.47E-05,9.63E-05,3.79E-05,6.40E-05,3.83E-05,4.54E-05,1.82E-05,1.36E-05,10404,23396.871,,34201.668,-0.014260027,0.014260027,12051.09,12204.94
20070307,2.68E-05,3.53E-05,-0.001306951,3.25E-05,3.07E-05,2.88E-05,2.27E-05,2.95E-05,3.70E-05,1.58E-05,1.81E-05,10421,23398.407,,34201.589,-0.006366917,0.004290905,12204.3,12188.36
20070308,5.49E-05,5.75E-05,0.005379437,3.19E-05,5.91E-05,2.79E-05,2.43E-05,2.42E-05,2.52E-05,1.25E-05,1.57E-05,10267,23399.819,,34200.969,-0.008993068,0.008993068,12193.33,12259.1
20070309,6.40E-05,4.89E-05,0.001214393,3.68E-05,5.04E-05,2.93E-05,4.85E-05,3.38E-05,4.85E-05,2.00E-05,1.79E-05,10218,23399.237,,34202.184,0.008285327,0.005564303,12262.06,12276.96
20070312,2.29E-05,2.19E-05,0.003290528,2.01E-05,2.40E-05,1.98E-05,2.29E-05,2.00E-05,2.05E-05,1.03E-05,8.31E-06,10079,23397.981,,34201.989,-0.008325877,0.005960687,12275.68,12316.14
20070313,8.74E-05,8.47E-05,-0.019084071,6.10E-05,6.96E-05,5.69E-05,7.33E-05,5.69E-05,5.55E-05,7.02E-05,4.52E-05,10708,23399.19,,34202.621,0.019315985,0,12307.49,12074.84
20070314,0.000133808,0.000128415,0.004772222,0.000117219,0.000106803,0.000114424,0.000112826,0.000110851,0.000109417,6.55E-05,5.95E-05,10872,23399.887,,34202.461,-0.016839697,0.005643896,12074.52,12132.28
20070315,4.04E-05,4.27E-05,0.001939903,4.18E-05,3.84E-05,3.82E-05,3.61E-05,4.20E-05,3.59E-05,1.78E-05,1.96E-05,10296,23399.048,,34202.241,-0.006733339,0.004506379,12133.16,12156.72
20070316,2.97E-05,3.53E-05,-0.003737093,3.21E-05,1.91E-05,2.69E-05,3.30E-05,3.42E-05,2.82E-05,1.68E-05,1.90E-05,10142,23376.615,,34231.723,0.008884985,0.002882693,12155.11,12109.77
20070319,5.17E-05,4.71E-05,0.009270215,2.55E-05,6.00E-05,2.08E-05,2.79E-05,1.89E-05,1.91E-05,6.24E-06,7.35E-06,9980,23399.415,,34204.419,-0.01007565,0.01007565,12111.69,12224.49
20070320,1.45E-05,1.69E-05,0.004876528,1.47E-05,1.24E-05,1.14E-05,1.37E-05,1.38E-05,1.59E-05,5.50E-06,5.30E-06,9894,23399.832,,34202.222,-0.006590799,0.005469683,12226.81,12286.58
20070321,5.21E-05,5.91E-05,0.012657793,5.40E-05,6.87E-05,5.99E-05,4.29E-05,4.65E-05,4.67E-05,8.14E-06,9.95E-06,10103,23398.915,,34201.735,-0.01750307,0.015434854,12288.98,12445.52
20070322,1.81E-05,2.76E-05,0.001125767,2.26E-05,1.61E-05,2.16E-05,1.54E-05,2.28E-05,2.67E-05,7.19E-06,9.74E-06,10302,23397.686,,34201.88,-0.005427408,0.002365695,12446.72,12460.74
20070323,2.63E-05,2.58E-05,0.001766426,2.42E-05,1.78E-05,2.04E-05,1.44E-05,1.73E-05,2.46E-05,8.07E-06,7.39E-06,10008,23398.607,,34202.067,-0.004980887,0.00402943,12460.5,12482.53
20070326,4.06E-05,4.19E-05,-0.00095716,3.70E-05,5.24E-05,4.22E-05,3.55E-05,3.60E-05,3.78E-05,2.90E-05,2.38E-05,10114,23398.76,,34202.108,0.009573417,0.000507068,12480.37,12468.43
20070327,3.65E-05,3.16E-05,-0.005702517,2.28E-05,3.23E-05,1.83E-05,2.24E-05,1.94E-05,1.90E-05,2.65E-05,1.37E-05,10039,23398.716,,34201.512,0.007325102,0,12468.59,12397.69
20070328,6.80E-05,5.31E-05,-0.008371226,5.42E-05,7.17E-05,5.37E-05,4.47E-05,4.26E-05,4.42E-05,4.77E-05,3.44E-05,10392,23398.845,,34201.564,0.011262393,0,12396.41,12293.07
20070329,7.02E-05,6.85E-05,0.003601204,4.79E-05,6.75E-05,4.20E-05,3.82E-05,3.99E-05,4.04E-05,2.27E-05,2.23E-05,10309,23399.262,,34202.664,0.009223902,0.006478189,12301.48,12345.86
20070330,4.55E-05,6.53E-05,0.000181376,6.85E-05,6.77E-05,6.70E-05,4.78E-05,5.99E-05,5.58E-05,2.66E-05,3.75E-05,10272,23399.217,,34202.573,0.014047362,0.005460044,12348.91,12351.15
20070402,2.22E-05,3.57E-05,0.002292078,2.57E-05,2.45E-05,2.85E-05,2.20E-05,2.20E-05,2.52E-05,9.42E-06,1.30E-05,10029,23398.433,,34201.431,-0.005681452,0.003243747,12354.52,12382.87
20070403,5.57E-05,3.19E-05,0.010494819,2.81E-05,5.28E-05,2.42E-05,1.96E-05,1.61E-05,1.57E-05,6.82E-06,5.80E-06,9972,23398.09,,34202.59,-0.012454583,0.012454583,12379.05,12509.65
20070404,1.27E-05,1.38E-05,0.001356246,1.27E-05,9.07E-06,1.01E-05,1.10E-05,1.04E-05,1.18E-05,6.32E-06,6.28E-06,9750,23399.999,,34201.011,-0.003577095,0.002361461,12511.36,12528.34
20070405,7.01E-06,7.81E-06,0.002773392,6.33E-06,7.60E-06,5.97E-06,5.66E-06,5.65E-06,5.65E-06,2.64E-06,1.98E-06,9642,23398.464,,34202.36,-0.005704934,0.003912255,12523.22,12558
20070406,,,,,,,,,,,,,,,,,,,
20070409,8.02E-06,8.07E-06,0.000503748,7.42E-06,8.10E-06,8.25E-06,7.24E-06,7.48E-06,5.78E-06,3.69E-06,3.76E-06,9614,23399.724,,34202.146,-0.003037896,0.002461418,12562.64,12568.97
20070410,1.02E-05,1.01E-05,0.000426372,1.00E-05,9.08E-06,7.87E-06,1.00E-05,9.76E-06,8.75E-06,5.02E-06,4.90E-06,9739,23398.174,,34201.949,0.003084572,0.001582867,12568.49,12573.85
20070411,2.30E-05,2.72E-05,-0.007050899,2.84E-05,2.40E-05,3.13E-05,1.82E-05,2.27E-05,2.24E-05,1.60E-05,2.03E-05,10071,23398.601,,34201.506,0.009829432,0.00047789,12573.12,12484.78
20070412,2.09E-05,2.12E-05,0.005557423,2.30E-05,2.44E-05,2.49E-05,1.85E-05,2.05E-05,1.93E-05,8.36E-06,9.17E-06,9900,23398.281,,34202.961,-0.010278192,0.005841772,12483.64,12553.21
20070413,2.46E-05,1.92E-05,0.004760038,1.63E-05,2.33E-05,1.38E-05,2.26E-05,1.59E-05,1.54E-05,9.29E-06,6.88E-06,10016,23398.676,,34202.248,-0.006728906,0.005011359,12551.91,12611.8
20070416,2.44E-05,1.71E-05,0.008373741,1.22E-05,3.12E-05,1.13E-05,1.14E-05,8.22E-06,1.17E-05,3.01E-06,2.43E-06,9920,23397.7,,34201.828,-0.009427622,0.009427622,12611.64,12717.69
20070417,1.70E-05,1.83E-05,0.004233312,1.86E-05,1.95E-05,1.68E-05,1.45E-05,1.77E-05,1.17E-05,7.25E-06,7.33E-06,10071,23399.221,,34203.06,-0.006413044,0.005517958,12719.56,12773.52
20070418,1.72E-05,2.05E-05,0.002148644,1.80E-05,2.01E-05,2.13E-05,1.85E-05,1.85E-05,1.62E-05,7.19E-06,6.57E-06,10172,23399.049,,34201.386,-0.008499652,0.005262114,12771.08,12798.55
20070419,3.93E-05,3.35E-05,0.00069196,2.50E-05,2.34E-05,1.89E-05,2.81E-05,1.91E-05,1.76E-05,2.61E-05,1.09E-05,10224,23399.174,,34203.207,-0.007425742,0.002365212,12799.77,12808.63
20070420,9.16E-05,5.77E-05,0.011861171,3.91E-05,0.000109289,2.46E-05,2.89E-05,1.56E-05,2.88E-05,8.04E-06,6.42E-06,10145,23399.409,,34201.728,-0.011924251,0.011873513,12811.15,12964.01
20070423,1.40E-05,1.46E-05,-0.003007258,1.30E-05,1.29E-05,1.09E-05,1.35E-05,1.29E-05,1.22E-05,8.84E-06,7.66E-06,10150,23398.557,,34203.527,0.005138978,0.001685114,12961.49,12922.57
20070424,1.93E-05,2.04E-05,0.002788755,1.87E-05,1.99E-05,1.74E-05,1.60E-05,1.64E-05,2.02E-05,9.51E-06,8.28E-06,10285,23398.502,,34202.514,-0.006786029,0.005407332,12919.64,12955.72
20070425,4.98E-05,3.66E-05,0.010274857,2.76E-05,3.63E-05,2.18E-05,3.08E-05,2.40E-05,2.25E-05,7.86E-06,7.87E-06,10135,23399.927,,34201.546,-0.011963129,0.011963129,12951.42,13085.18
20070426,1.92E-05,2.22E-05,0.001141543,1.86E-05,1.74E-05,1.88E-05,1.74E-05,1.73E-05,1.64E-05,7.76E-06,8.29E-06,10109,23398.219,,34201.924,-0.004819463,0.003340776,13088.84,13103.79
20070427,1.90E-05,2.45E-05,0.001307139,1.74E-05,1.42E-05,1.41E-05,1.89E-05,1.76E-05,2.17E-05,1.04E-05,8.19E-06,10174,23398.832,,34203.6,-0.005628103,0.003342992,13104.04,13121.18
20070430,2.27E-05,2.11E-05,-0.004438882,2.07E-05,2.23E-05,1.99E-05,1.84E-05,1.82E-05,1.64E-05,1.42E-05,1.27E-05,10132,23398.617,,34201.456,0.007623541,0.003184659,13120.21,13062.1
20070501,3.94E-05,3.14E-05,0.005534026,3.04E-05,2.66E-05,2.48E-05,3.33E-05,2.87E-05,1.91E-05,1.41E-05,1.28E-05,10309,23399.345,,34201.736,-0.007331939,0.00569465,13062.75,13135.24
20070502,1.62E-05,1.41E-05,0.005953036,1.57E-05,1.97E-05,1.58E-05,1.24E-05,1.26E-05,1.12E-05,3.55E-06,4.30E-06,10080,23398.751,,34201.405,-0.00937461,0.00925735,13133.94,13212.36
20070503,1.94E-05,1.79E-05,0.002619487,1.66E-05,1.90E-05,1.48E-05,1.71E-05,1.51E-05,1.31E-05,8.64E-06,8.49E-06,10157,23398.73,,34201.293,-0.003835434,0.003037033,13206.65,13241.29
20070504,1.46E-05,1.92E-05,0.0016742,1.54E-05,1.29E-05,1.45E-05,1.57E-05,1.48E-05,1.56E-05,7.84E-06,8.78E-06,10206,23399.207,,34200.951,0.004162508,0.003094204,13243,13265.19
20070507,1.39E-05,1.04E-05,0.003358314,7.72E-06,9.57E-06,6.41E-06,8.52E-06,6.64E-06,7.28E-06,3.34E-06,2.80E-06,10007,23399.664,,34203.32,-0.004219831,0.004029827,13264.13,13308.75
20070508,2.28E-05,2.14E-05,0.000238146,1.42E-05,1.84E-05,1.12E-05,1.08E-05,1.09E-05,1.44E-05,1.67E-05,7.72E-06,10083,23399.867,,34201.877,-0.005760019,0.000353818,13309.56,13312.73
20070509,1.63E-05,3.77E-05,0.00460271,3.10E-05,1.67E-05,2.32E-05,1.53E-05,3.11E-05,3.33E-05,5.23E-06,1.27E-05,10187,23399.814,,34201.39,-0.006745651,0.005137667,13300.62,13361.98
20070510,4.39E-05,4.29E-05,-0.010782488,3.46E-05,3.77E-05,3.16E-05,3.03E-05,2.76E-05,3.08E-05,3.36E-05,2.47E-05,10346,23398.709,,34202.066,0.011145756,0,13359.05,13215.78
20070511,2.59E-05,2.12E-05,0.009067878,2.07E-05,3.10E-05,1.75E-05,2.05E-05,1.67E-05,1.61E-05,4.91E-06,5.01E-06,10088,23399.823,,34203.91,-0.009074628,0.009074628,13212.04,13332.39
20070514,2.61E-05,2.58E-05,0.001907257,2.10E-05,2.78E-05,1.79E-05,1.89E-05,1.77E-05,1.90E-05,9.48E-06,9.92E-06,10075,23397.474,,34202.94,0.006463058,0.004326573,13325.81,13351.25
20070515,4.91E-05,4.00E-05,0.003118902,4.03E-05,4.15E-05,4.19E-05,5.00E-05,4.10E-05,3.45E-05,1.86E-05,1.58E-05,10426,23398.301,,34201.771,-0.01032502,0.010093464,13346.05,13387.74
20070516,3.25E-05,2.99E-05,0.008485571,2.35E-05,3.82E-05,2.54E-05,2.67E-05,2.17E-05,1.98E-05,9.19E-06,9.04E-06,10243,23399.764,,34202.614,-0.00930921,0.008558225,13374.13,13488.1
20070517,2.31E-05,1.89E-05,-0.001090536,1.78E-05,1.86E-05,1.60E-05,1.84E-05,1.65E-05,1.66E-05,1.39E-05,9.37E-06,10073,23397.669,,34202.113,-0.005093358,0.002197486,13486.96,13472.26
20070518,3.42E-05,2.65E-05,0.005861952,1.86E-05,1.76E-05,1.27E-05,2.14E-05,1.48E-05,1.40E-05,6.38E-06,6.41E-06,10042,23399.506,,34201.77,-0.005988091,0.005988091,13476.4,13555.63
20070521,1.36E-05,1.36E-05,-0.001217911,1.29E-05,1.43E-05,1.34E-05,1.37E-05,1.11E-05,1.17E-05,7.94E-06,7.60E-06,9999,23398.838,,34203.719,0.004160013,0.002198078,13556.04,13539.54
20070522,1.68E-05,1.63E-05,-0.0006366,1.49E-05,1.44E-05,1.24E-05,1.44E-05,1.40E-05,1.32E-05,8.76E-06,7.62E-06,9991,23399.776,,34202.851,-0.004249962,0.003067276,13544.99,13536.37
20070523,2.91E-05,2.80E-05,-0.001525441,2.64E-05,2.16E-05,2.43E-05,2.46E-05,2.17E-05,2.05E-05,1.35E-05,1.50E-05,10203,23398.059,,34201.914,0.007679111,0.005071,13540.84,13520.2
20070524,5.97E-05,5.81E-05,-0.005813086,5.64E-05,7.26E-05,5.97E-05,5.10E-05,4.93E-05,5.57E-05,3.41E-05,3.37E-05,10616,23398.491,,34201.701,0.014813037,0.007493337,13522.6,13444.22
20070525,2.59E-05,2.76E-05,0.004999407,1.84E-05,2.34E-05,1.63E-05,1.65E-05,1.64E-05,1.83E-05,6.07E-06,7.01E-06,9898,23399.771,,34202.387,-0.005632146,0.005493019,13441.94,13509.31
20070528,,,,,,,,,,,,,,,,,,,
20070529,2.84E-05,2.61E-05,0.000740068,2.38E-05,2.37E-05,2.13E-05,2.38E-05,2.22E-05,2.64E-05,1.34E-05,1.27E-05,10202,23398.346,,34201.706,0.007300069,0.004214754,13507.28,13517.28
20070530,5.08E-05,4.72E-05,0.008694227,3.66E-05,3.84E-05,3.38E-05,3.07E-05,3.35E-05,3.31E-05,2.89E-05,1.34E-05,10449,23398.078,,34201.807,-0.013204345,0.008694227,13517.89,13635.93
20070531,1.61E-05,1.82E-05,-0.000476898,1.60E-05,1.62E-05,1.50E-05,1.69E-05,1.55E-05,1.60E-05,8.51E-06,8.37E-06,10124,23398.618,,34202.169,0.004258335,0.002922447,13633,13626.5
20070601,2.78E-05,2.41E-05,0.002709719,2.05E-05,3.17E-05,1.59E-05,2.00E-05,1.80E-05,2.09E-05,8.67E-06,9.54E-06,10197,23395.885,,34202.823,0.004903293,0.00461122,13628.69,13665.67
20070604,1.73E-05,2.42E-05,0.000446224,1.30E-05,1.70E-05,1.06E-05,1.31E-05,1.14E-05,1.54E-05,9.58E-06,5.84E-06,9761,23399.398,,34201.782,-0.005219508,0.001681446,13667.21,13673.31
20070605,3.02E-05,3.12E-05,-0.005612071,2.65E-05,3.59E-05,2.43E-05,2.40E-05,2.34E-05,2.28E-05,2.11E-05,1.61E-05,10234,23399.046,,34202.001,0.008964038,5.85E-06,13673.19,13596.67
20070606,3.81E-05,3.73E-05,-0.009317232,3.28E-05,3.42E-05,2.83E-05,2.63E-05,2.60E-05,2.73E-05,2.80E-05,2.14E-05,10187,23399.962,,34200.542,0.011335652,0,13590.74,13464.7
20070607,7.22E-05,7.18E-05,-0.015186618,7.07E-05,8.06E-05,7.31E-05,5.72E-05,5.78E-05,5.18E-05,5.08E-05,4.60E-05,10710,23399.105,,34201.873,0.01641734,0.001230722,13463.48,13260.56
20070608,4.93E-05,4.64E-05,0.011607552,4.67E-05,3.47E-05,4.65E-05,5.01E-05,4.63E-05,4.53E-05,1.58E-05,1.67E-05,10309,23399.048,,34202.175,-0.013340207,0.012236901,13267.46,13422.36
20070611,3.06E-05,3.07E-05,-1.19E-05,3.00E-05,2.89E-05,3.17E-05,2.83E-05,2.84E-05,2.90E-05,1.75E-05,1.33E-05,10052,23398.829,,34201.76,-0.007177291,0.00407265,13423.33,13423.17
20070612,5.77E-05,6.51E-05,-0.009678408,5.40E-05,5.96E-05,5.88E-05,4.98E-05,5.10E-05,6.30E-05,3.70E-05,3.41E-05,10332,23399.774,,34202.068,0.01153524,0.001856832,13424.39,13295.09
20070613,7.59E-05,6.11E-05,0.014524913,5.69E-05,7.26E-05,5.24E-05,4.48E-05,4.08E-05,4.18E-05,1.51E-05,1.35E-05,10406,23399.931,,34201.5,-0.014717744,0.014717744,13287.62,13482.03
20070614,2.46E-05,2.33E-05,0.005376242,2.42E-05,2.13E-05,2.14E-05,2.55E-05,2.29E-05,2.38E-05,9.37E-06,9.04E-06,10129,23399.733,,34201.602,-0.007534092,0.007323425,13482.43,13555.11
20070615,6.11E-05,4.82E-05,0.006258475,2.57E-05,7.32E-05,1.83E-05,2.01E-05,1.56E-05,2.09E-05,6.29E-06,7.46E-06,10140,23399.829,,34200.645,-0.009673018,0.009673018,13556.65,13641.76
20070618,1.70E-05,1.78E-05,-0.001652512,1.60E-05,9.69E-06,1.29E-05,1.27E-05,1.48E-05,1.53E-05,1.04E-05,1.04E-05,10048,23398.315,,34201.668,0.004274023,0.002077904,13639,13616.48
20070619,1.71E-05,2.21E-05,0.002052745,1.98E-05,1.47E-05,1.96E-05,1.27E-05,1.82E-05,2.13E-05,8.36E-06,8.49E-06,10028,23397.946,,34201.88,-0.005499203,0.002970236,13611.68,13639.65
20070620,5.11E-05,4.62E-05,-0.011276581,4.69E-05,4.37E-05,4.49E-05,4.07E-05,3.85E-05,4.45E-05,3.24E-05,3.28E-05,10428,23398.029,,34201.697,0.014014723,0.002738142,13636.56,13483.65
20070621,7.49E-05,6.90E-05,0.004360723,7.02E-05,7.02E-05,7.27E-05,5.94E-05,6.58E-05,5.42E-05,3.55E-05,3.18E-05,10537,23398.613,,34201.81,-0.01225239,0.005733658,13486.66,13545.6
20070622,6.43E-05,6.80E-05,-0.01174158,5.66E-05,5.40E-05,5.31E-05,5.57E-05,5.29E-05,6.40E-05,4.38E-05,3.78E-05,10493,23399.159,,34202.011,0.01354646,0,13545.03,13386.92
20070625,0.000119347,9.29E-05,-0.000303936,8.41E-05,9.59E-05,9.00E-05,8.85E-05,7.20E-05,7.95E-05,6.19E-05,4.64E-05,10506,23397.998,,34201.801,0.014061122,0.009585583,13360.09,13356.03
20070626,7.57E-05,8.29E-05,-0.00108429,7.61E-05,8.38E-05,7.02E-05,6.04E-05,6.90E-05,7.50E-05,3.57E-05,3.94E-05,10624,23398.86,,34200.683,0.010722946,0.007472552,13352.37,13337.9
20070627,6.96E-05,7.03E-05,0.006948175,5.65E-05,3.92E-05,4.52E-05,5.86E-05,5.32E-05,4.60E-05,3.87E-05,2.22E-05,10458,23398.528,,34204.028,-0.012936297,0.007153665,13336.93,13429.92
20070628,6.90E-05,5.46E-05,-0.000423845,5.70E-05,4.66E-05,5.35E-05,5.68E-05,4.96E-05,5.72E-05,3.45E-05,2.81E-05,10267,23398.41,,34201.364,-0.00793363,0.00509663,13427.56,13421.87
20070629,7.26E-05,7.55E-05,-0.001345651,7.76E-05,7.52E-05,8.77E-05,6.51E-05,7.24E-05,6.83E-05,3.81E-05,4.26E-05,10505,23399.252,,34201.678,0.015671016,0.007559299,13422.61,13404.56
20070702,4.93E-05,4.60E-05,0.009394494,2.99E-05,3.36E-05,2.28E-05,3.06E-05,2.51E-05,2.35E-05,8.48E-06,1.04E-05,10080,23398.291,,34200.804,-0.009454331,0.009454331,13409.6,13536.17
20070703,7.43E-06,1.15E-05,0.003370851,7.43E-06,9.66E-06,7.02E-06,6.88E-06,6.55E-06,9.07E-06,2.10E-06,2.56E-06,5563,12801.118,,34202.476,-0.004417639,0.004417639,13531.61,13577.3
20070704,,,,,,,,,,,,,,,,,,,
20070705,2.87E-05,2.87E-05,-0.000622605,2.38E-05,2.70E-05,2.08E-05,1.75E-05,1.92E-05,2.45E-05,1.73E-05,1.16E-05,9998,23399.025,,34202.681,-0.004908204,0.000275443,13576.24,13567.79
