,DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live)
,Realized Variance (5-minute),Realized Kernel,Return,Realized Variance (5-minute using 1-minute subsamples),Realized Variance (10-minute),Realized Variance (10-minute using 1-minute subsamples),Bipower Variation (5-minute) ,Bipower Variation (5-minute using 1-minute subsamples) ,Median Truncated Realized Variance,Realized Semivariance (5-minute),Realized Semivariance (5-minute using 1-minute subsamples),Number of Transactions,Time span betwen first and last observation (seconds),Close-to-Open Return,Opening Time (Local in Seconds),High-Low Range,High-Open Range,Opening Price,Closing Price
DateID,DJI2.rv,DJI2.rk,DJI2.r,DJI2.rv5ss,DJI2.rv10,DJI2.rv10ss,DJI2.bv5,DJI2.bv5ss,DJI2.medrv,DJI2.rs,DJI2.rs5ss,DJI2.nobs,DJI2.timespan,DJI2.rcto,DJI2.open,DJI2.highlow,DJI2.highopen,DJI2.openprice,DJI2.closeprice
20000229,0.000144892,0.00011874,0.010971922,0.000129273,0.000140611,0.000113964,0.000149268,0.000122807,8.23E-05,6.08E-05,5.71E-05,11062,23399.438,,34202.823,-0.017264925,0.016306258,10039.58,10150.34
20000301,0.000141556,0.000135998,0.00087737,0.000134493,0.000128563,0.000122149,0.000132094,0.000125436,8.69E-05,7.08E-05,7.07E-05,11208,23399.931,,34202.869,-0.009886027,0.00567005,10128.11,10137
20000302,0.000102199,0.000104261,0.003010626,9.93E-05,9.89E-05,8.54E-05,8.66E-05,9.48E-05,6.79E-05,4.22E-05,4.33E-05,11098,23398.61,,34205.055,-0.010599028,0.007472426,10135.44,10166
20000303,0.000200694,0.000135511,0.018435619,0.000136567,0.000296535,0.000122194,0.000205313,0.000116935,9.21E-05,3.79E-05,3.40E-05,11121,23399.096,,34205.853,-0.026399675,0.026399675,10171.12,10360.37
20000306,9.25E-05,7.61E-05,-0.018634833,8.65E-05,0.000115484,9.63E-05,0.000107106,9.09E-05,5.22E-05,6.15E-05,5.84E-05,10891,23399.776,,34206.583,0.02547258,0.00234979,10358.96,10167.71
20000307,0.000591197,0.000444934,-0.039447576,0.000589136,0.000938764,0.000752251,0.000490306,0.000411431,0.000108504,0.000499533,0.000509037,11176,23398.012,,34204.725,0.047526665,0.003034339,10197.61,9803.17
20000308,0.000132072,0.000131114,0.010392019,0.000160358,0.000170788,0.000179875,0.000135151,0.000170052,8.70E-05,5.34E-05,6.95E-05,8918,18823.052,,34206.057,-0.019041118,0.011988229,9800.69,9903.07
20000309,0.000151202,0.000113877,0.014873682,0.000145411,0.000195725,0.000170196,0.000143969,0.000139571,7.16E-05,6.14E-05,6.54E-05,10989,23397.433,,34206.212,-0.0267479,0.014904672,9855.29,10002.97
20000310,0.000187464,0.000155184,-0.007216831,0.000184683,0.000183761,0.000195253,0.000172888,0.000173969,0.000101225,0.000111737,0.000109505,11100,23397.728,,34204.36,0.018298398,0.00820421,10008.55,9936.58
20000313,0.000493353,0.000348194,0.002734568,0.000385577,0.000568674,0.000313978,0.000318096,0.000256967,0.000202532,0.000284981,0.000221043,11175,23399.845,,34206.75,-0.026253414,0.00865561,9911.22,9938.36
20000314,0.000171716,0.000150276,-0.012161825,0.000157737,0.000184199,0.000154519,0.000144057,0.000148782,0.000103697,0.000107411,9.23E-05,11046,23137.372,,34204.859,0.020711152,0.008470034,9957.67,9837.3
20000315,0.00019765,0.000177033,0.030096698,0.000208369,0.000245825,0.000249387,0.000178884,0.000215464,0.000116154,6.17E-05,6.85E-05,11061,22980.864,,34206.096,-0.040354872,0.037176957,9808.15,10107.83
20000316,0.00035407,0.000226902,0.044564959,0.000264643,0.000353228,0.000257276,0.000201315,0.00021897,0.000143871,7.16E-05,6.40E-05,10958,22654.147,,34205.915,-0.046998404,0.046998404,10139.58,10601.67
20000317,,,,,,,,,,,,,,,,,,,
20000320,0.000106458,0.000112912,0.007629333,0.000114014,0.000117743,0.000104579,9.89E-05,9.73E-05,7.06E-05,4.04E-05,4.13E-05,11145,23397.936,,34206.012,-0.013146046,0.012442621,10594.75,10675.89
20000321,0.000143424,0.000191066,0.0201225,0.000162918,0.000146517,0.00015329,0.000129268,0.000156213,0.000137646,4.12E-05,5.34E-05,11110,23396.389,,34206.293,-0.027472863,0.020272067,10680.24,10897.33
20000322,9.13E-05,9.03E-05,-0.004843643,8.32E-05,6.75E-05,7.22E-05,9.45E-05,8.05E-05,6.34E-05,5.14E-05,4.36E-05,11127,23398.622,,34207.09,0.011778397,0,10916.96,10864.21
20000323,0.00016123,0.00014521,0.020175677,0.000138537,0.000121512,0.000133579,0.000154044,0.000132829,9.19E-05,7.27E-05,5.40E-05,11266,23399.697,,34205.769,-0.02756608,0.022909145,10884.38,11106.21
20000324,0.000167827,0.000169652,0.001590459,0.00018031,0.000159755,0.000169279,0.000126286,0.000160015,9.83E-05,7.44E-05,7.76E-05,11222,23398.006,,34205.363,0.016876443,0.011386698,11107.45,11125.13
20000327,9.66E-05,9.95E-05,-0.006347373,9.84E-05,9.41E-05,9.56E-05,0.000108032,9.95E-05,6.26E-05,5.61E-05,5.26E-05,11149,23399.007,,34204.067,0.016973821,0.006961045,11093.25,11023.06
20000328,,,,,,,,,,,,,,,,,,,
20000329,0.000133061,0.000126993,0.00790356,0.000129454,0.000169916,0.000135649,0.000106843,0.000125161,8.86E-05,4.41E-05,5.23E-05,11187,23398.74,,34206.56,-0.01727986,0.014717858,10939.05,11025.85
20000330,0.000198546,0.000178751,-0.00228546,0.000219502,0.000246629,0.000256475,0.00019522,0.000236713,0.000132632,0.000101789,0.000101862,11236,23396.527,,34206.026,0.020561837,0.01221326,11008.17,10983.04
20000331,0.000196492,0.000154923,-0.003307481,0.00015176,0.000171281,0.000144746,0.000176078,0.000141333,9.97E-05,9.68E-05,8.71E-05,11104,23397.661,,34206.543,0.0142629,0.010331877,10993.28,10956.98
